2065,Tues & Sat 17’s Series 1,Overall,/reshyc/2025/club/series1_tuesat17.htm
2066,Saturday Series 1,Squibs,/reshyc/2025/club/series1_satsquibs.htm
2067,Saturday Series 1,Puppeteer,/reshyc/2025/club/series1_satpups.htm
2068,Saturday Series 1,Cruisers,/reshyc/2025/club/series1_satcruisers.htm
2069,Tuesday Series 1,Squibs,/reshyc/2025/club/series1_tue_squib.htm
2070,Tuesday Series 1,Puppeteers,/reshyc/2025/club/series1_tue_pup.htm
2071,Wednesday Series 1,Class 1,/reshyc/2025/club/series1_class1.htm
2072,Wednesday Series 1,Class 2,/reshyc/2025/club/series1_class2.htm
2073,Wednesday Series 1,Non Spinnaker,/reshyc/2025/club/series1_ns.htm
2074,Wednesday Series 1,Sports Boats,/reshyc/2025/club/series1_sb.htm
2075,Dinghys - Thursdays,Overall,/reshyc/2025/club/dinghy_py.htm
2077,Wednesday Series 1,Class 3,/reshyc/2025/club/series1_class3.htm
2079,Dinghys - Thursdays,Optimist,/reshyc/2025/club/dinghy_optimist.htm
