1955,Dinghy New Years Day Race,Overall,/reshyc/2024/open/NewYearsDay/overall.htm
1957,Dinghy F’bite Spring Series,Overall,/reshyc/2024/open/fbite_spring_overall.htm
1958,Brass Monkeys Spring,Overall,/reshyc/2024/open/BM_springseries_overall.htm
1959,Brassed Off Cup,Main Fleet,/reshyc/2024/open/brassed_off_cup_main.htm
1970,2024 ILCA Masters,Overall,/reshyc/2024/open/ILCAMasters/overall.htm
1971,Wave Regatta,Class 1,/reshyc/2024/open_wave_class1.htm
1972,Wave Regatta,Class 2,/reshyc/2024/open_wave_class2.htm
1973,Wave Regatta,Class 3,/reshyc/2024/open_wave_class3.htm
1974,Wave Regatta,Class 0,/reshyc/2024/open_wave_class0.htm
1975,Wave Regatta,Class 4 NS1,/reshyc/2024/open_wave_class4.htm
1976,Wave Regatta,Class 5 NS2,/reshyc/2024/open_wave_class5.htm
1980,Lambay Race,Class 0,/reshyc/2024/open/Lambay/class0.htm
1981,Lambay Race,Class 1,/reshyc/2024/open/Lambay/class1.htm
1982,Lambay Race,Class 2,/reshyc/2024/open/Lambay/class2.htm
1983,Lambay Race,Class 3,/reshyc/2024/open/Lambay/class3.htm
1984,Lambay Race,Class 4 NS1,/reshyc/2024/open/Lambay/class4.htm
1986,Lambay Race,Puppeteers,/reshyc/2024/open/Lambay/pups.htm
1987,Lambay Race,Howth 17’s,/reshyc/2024/open/Lambay/h17.htm
1988,Lambay Race,Squibs,/reshyc/2024/open/Lambay/squibs.htm
1992,Fingal Series,Overall,/reshyc/2024/open_fingal_overall.htm
1996,GP14 Leinster Championships,GP14,/reshyc/2024/open/GP14Leinsters/overall.htm
